SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.01665986, -1.00267434, 0.06848200, -6.87084436, 7.03189754, -2.09780526, -35.77901077, 3.47851491, -85.15054321, 93.03864288, -0.57770818, 8.80235958, -0.68579161, 0.72372365, 0.05222315, 0.05645189, 0.00636530, 0.00402587, -0.01700811, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0050, 1, -0.01449013, -1.00241041, 0.06611098, -6.97847319, 7.13287163, -1.98887169, -36.15901566, 4.09237051, -84.30283356, 93.00337219, -0.56969297, 8.83848381, -0.68600065, 0.72349256, 0.05248187, 0.05663365, 0.00434307, 0.00373195, -0.01524301, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0100, 2, -0.01247263, -1.00290322, 0.06724874, -7.23055267, 7.40745783, -1.90901351, -36.15901566, 4.09237051, -84.30283356, 92.96681976, -0.56211269, 8.87595272, -0.68621683, 0.72325325, 0.05274572, 0.05682696, 0.00245701, 0.00418884, -0.01700724, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0150, 3, -0.00918747, -1.00421286, 0.06508586, -7.62509537, 7.65097189, -2.03839564, -36.39286804, 4.20929527, -84.94592285, 92.92827606, -0.55393118, 8.91466141, -0.68644506, 0.72300094, 0.05301989, 0.05702499, -0.00068258, 0.00546625, -0.01550043, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0200, 4, -0.00514556, -1.00423002, 0.06015174, -7.80311918, 7.65105629, -2.10623217, -36.39286804, 4.20929527, -84.94592285, 92.88886261, -0.54539257, 8.95338631, -0.68667877, 0.72274309, 0.05329572, 0.05722146, -0.00456498, 0.00545538, -0.01124328, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0250, 5, 0.00032492, -1.00585675, 0.05700343, -7.87267303, 7.54349518, -2.00275350, -36.39286804, 4.20929527, -84.94592285, 92.84912872, -0.53731209, 8.99154472, -0.68691450, 0.72248363, 0.05356495, 0.05741778, -0.00988238, 0.00705103, -0.00877532, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0300, 6, 0.00128600, -1.00425124, 0.05885445, -8.08521080, 7.50345039, -1.86079371, -36.10055542, 3.82928967, -85.15054321, 92.80832672, -0.52990824, 9.02946472, -0.68715656, 0.72221798, 0.05382793, 0.05761760, -0.01071732, 0.00540632, -0.01132467, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0350, 7, 0.00243684, -1.00319195, 0.06075476, -8.36835194, 7.39565611, -1.82470644, -36.10055542, 3.82928967, -85.15054321, 92.76878357, -0.52059829, 9.06674767, -0.68739188, 0.72195905, 0.05409882, 0.05780121, -0.01172673, 0.00430803, -0.01392830, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0400, 8, 0.00404797, -1.00259709, 0.05705570, -8.65264416, 7.39145327, -1.75108349, -36.36363602, 3.77082729, -84.82899475, 92.72516632, -0.51367098, 9.10406876, -0.68765140, 0.72167653, 0.05435347, 0.05800217, -0.01318852, 0.00368270, -0.01095526, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0700, 9, 0.02169000, -1.00222301, 0.05196301, -10.17293930, 6.80337858, -1.00965154, -36.30517197, 3.94621444, -85.93978119, 92.43689728, -0.48526916, 9.31013203, -0.68937427, 0.71983266, 0.05567292, 0.05920015, -0.03030781, 0.00308637, -0.01080998, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0750, 10, 0.02786905, -1.00393128, 0.04504448, -10.45660210, 6.76270056, -0.86680138, -36.30517197, 3.94621444, -85.93978119, 92.38431549, -0.48243442, 9.34408855, -0.68968844, 0.71949846, 0.05587604, 0.05941228, -0.03641617, 0.00476687, -0.00478970, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0800, 11, 0.03662865, -0.99943078, 0.03641801, -10.55145645, 5.88068676, -0.43093887, -36.50979233, 3.94621444, -85.73516083, 92.33129883, -0.48157728, 9.37354946, -0.69000638, 0.71916449, 0.05603860, 0.05961014, -0.04512852, 0.00024222, 0.00294261, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0850, 12, 0.04066101, -0.99693811, 0.03566438, -10.39318371, 4.68427324, 0.13441652, -36.50979233, 3.94621444, -85.73516083, 92.27896118, -0.47210726, 9.39672756, -0.69032788, 0.71883345, 0.05621385, 0.05971599, -0.04908248, -0.00228695, 0.00279232, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0900, 13, 0.04213458, -0.99913442, 0.04399900, -10.30876160, 3.66627598, 0.49465144, -36.18824768, 3.65390229, -85.67670441, 92.22726440, -0.47540209, 9.41494942, -0.69064081, 0.71851456, 0.05628130, 0.05987182, -0.05053040, -0.00014044, -0.00644578, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.0950, 14, 0.04083007, -1.00257397, 0.05225742, -10.66302395, 3.62079334, 0.81354666, -36.18824768, 3.65390229, -85.67670441, 92.17381287, -0.48026490, 9.43288803, -0.69096386, 0.71818584, 0.05633645, 0.06003669, -0.04932304, 0.00325055, -0.01563433, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.1000, 15, 0.03777975, -0.99888980, 0.03715389, -11.16330719, 3.91879654, 1.28269660, -36.18824768, 3.65390229, -85.67670441, 92.11784363, -0.48751891, 9.45223999, -0.69130039, 0.71784216, 0.05638455, 0.06022635, -0.04634934, -0.00044438, -0.00149770, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.1050, 16, 0.03544613, -0.99708474, 0.03689360, -11.23160172, 3.76975274, 1.66558743, -35.98363113, 3.91698337, -86.52440643, 92.06153870, -0.49663624, 9.47077942, -0.69163835, 0.71749759, 0.05641596, 0.06042300, -0.04416544, -0.00228383, -0.00222388, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.1100, 17, 0.03920785, -0.99639714, 0.03774526, -11.11643124, 3.16810966, 2.10545921, -35.98363113, 3.91698337, -86.52440643, 92.00585175, -0.50782579, 9.48625088, -0.69197273, 0.71715903, 0.05641579, 0.06061382, -0.04811793, -0.00300580, -0.00403820, 99.98900604, 111.80941772, 33.43999863, 0.00000000
1, 0.1150, 18, 0.04066006, -0.99704909, 0.03523696, -11.18273354, 2.90880132, 2.73106217, -35.57439423, 2.57234716, -85.82286072, 91.94985962, -0.52209127, 9.50033474, -0.69230771, 0.71682072, 0.05638801, 0.06081562, -0.04979778, -0.00238173, -0.00250281, 99.98900604, 111.80941772, 33.43999863, 0.00000000
