SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, -0.11663818, -1.13909912, 0.07940674, -12.24070740, 38.17845154, -89.83573151, -56.62086868, 2.48465347, -65.27330780, 58.35843277, -25.33937645, -137.70046997, -0.40707991, -0.00697185, -0.51272392, -0.75587803, -0.31323850, 0.37037396, -0.55297136, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0299, 1, -0.24597168, -1.01556396, 0.06732178, -10.17570686, 28.06344604, -81.15573120, -55.65623856, 1.92926037, -64.77638245, 58.22112656, -22.64922905, -138.26992798, -0.39438659, 0.00958895, -0.50684720, -0.76646799, -0.14079115, 0.23161376, -0.55294871, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0349, 2, -0.26336670, -0.99566650, 0.08489990, -8.84570599, 26.52344704, -79.82572937, -55.07161713, 2.19234133, -64.65945435, 58.21715927, -22.24009895, -138.37541199, -0.39230457, 0.01208903, -0.50605816, -0.76802099, -0.11676188, 0.20942506, -0.57205856, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0399, 3, -0.25878906, -0.97467041, 0.10247803, -7.83070612, 24.35344505, -78.98572540, -55.07161713, 2.19234133, -64.65945435, 58.22030640, -21.84025574, -138.48812866, -0.39019701, 0.01451507, -0.50533390, -0.76952809, -0.11483925, 0.18616641, -0.59100676, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0449, 4, -0.21069336, -0.95092773, 0.10827637, -7.02570581, 21.69344330, -78.14572144, -54.39929962, 1.28617358, -63.87021255, 58.23022461, -21.45096970, -138.61029053, -0.38805339, 0.01684678, -0.50467587, -0.77099484, -0.15657909, 0.16019949, -0.59802836, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0499, 5, -0.16674805, -0.92993164, 0.11456299, -5.55570507, 17.59844017, -77.55072784, -54.39929962, 1.28617358, -63.87021255, 58.25274277, -21.07496834, -138.74902344, -0.38583371, 0.01905219, -0.50413084, -0.77241278, -0.19432911, 0.13699739, -0.60535431, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0549, 6, -0.11145020, -0.91418457, 0.12713623, -2.89570427, 10.35344028, -76.29072571, -54.39929962, 1.28617358, -63.87021255, 58.29803467, -20.72328949, -138.91659546, -0.38349047, 0.02103036, -0.50379270, -0.77374798, -0.24381645, 0.11899954, -0.61852616, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0599, 7, -0.08154297, -0.90960693, 0.13665771, -1.32070374, 3.84343791, -75.17072296, -53.61005402, 1.31540489, -63.89944458, 58.35929489, -20.39332199, -139.10989380, -0.38103622, 0.02279025, -0.50361198, -0.77502716, -0.26824290, 0.11217400, -0.62833709, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0649, 8, -0.07391357, -0.89868164, 0.14392090, -0.16570343, -2.91156411, -73.84072876, -53.61005402, 1.31540489, -63.89944458, 58.43436432, -20.08649635, -139.32931519, -0.37847331, 0.02431144, -0.50357866, -0.77625740, -0.27075946, 0.09901991, -0.63559139, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1449, 9, -0.34436035, -0.70489502, 0.11157227, 12.50430107, 8.53343964, -49.37572098, -50.65770340, -1.49079216, -61.23940277, 60.16306686, -16.70636368, -143.16920471, -0.33954373, 0.03739097, -0.51023078, -0.78928864, 0.05590282, -0.12549236, -0.58827758, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1499, 10, -0.33795166, -0.69335938, 0.11041260, 13.97430229, 12.38344097, -48.39571762, -50.65770340, -1.49079216, -61.23940277, 60.25274658, -16.46560097, -143.23858643, -0.33812901, 0.03910181, -0.51044840, -0.78967232, 0.05350014, -0.13881002, -0.58641708, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1549, 11, -0.32189941, -0.68328857, 0.10754395, 15.72430134, 15.88344288, -47.13571930, -50.65770340, -1.49079216, -61.23940277, 60.34539795, -16.22153664, -143.28839111, -0.33683091, 0.04093080, -0.51067418, -0.78998834, 0.04152189, -0.15068412, -0.58280873, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1599, 12, -0.30725098, -0.67541504, 0.11230469, 17.89430237, 18.01844215, -45.52571487, -50.45308304, -1.14001751, -61.35632706, 60.44472122, -15.97911835, -143.32391357, -0.33563027, 0.04282919, -0.51094353, -0.79022443, 0.03094741, -0.16039503, -0.58672714, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1649, 13, -0.29101563, -0.67016602, 0.11022949, 20.13430214, 21.86844444, -43.35571289, -50.45308304, -1.14001751, -61.35632706, 60.54868317, -15.73660278, -143.33596802, -0.33458441, 0.04484453, -0.51123518, -0.79036760, 0.01878599, -0.16750373, -0.58372629, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1699, 14, -0.28277588, -0.65899658, 0.11553955, 21.63930321, 23.61844444, -41.43071747, -49.86845779, -0.96463019, -60.83016586, 60.65654755, -15.49815750, -143.33473206, -0.33363926, 0.04689901, -0.51155424, -0.79044145, 0.01456958, -0.18053786, -0.58802879, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1749, 15, -0.27203369, -0.65167236, 0.11468506, 23.45930290, 25.29844475, -39.50571060, -49.86845779, -0.96463019, -60.83016586, 60.77007675, -15.26399612, -143.32051086, -0.33279246, 0.04899471, -0.51191288, -0.79043907, 0.00778621, -0.18973872, -0.58606523, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1799, 16, -0.25732422, -0.64208984, 0.11596680, 25.52430344, 26.94344521, -37.19571304, -49.86845779, -0.96463019, -60.83016586, 60.89039993, -15.03594589, -143.29257202, -0.33205596, 0.05112527, -0.51232111, -0.79034936, -0.00305376, -0.20121318, -0.58611798, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, -0.0002, 0, -0.35236913, -1.02980721, 0.21034735, 21.69018173, 93.14213562, 82.79896545, -61.79479599, 15.96024513, -86.81671906, 89.55690765, -19.97094154, -70.50303650, -0.64138258, 0.49545121, -0.50089288, -0.30374789, 0.01196818, 0.08901777, -0.21994589, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.1849, 17, -0.23803711, -0.63555908, 0.11743164, 27.93930435, 28.55344772, -34.78071213, -50.07307816, -0.49693072, -61.06401443, 61.01933289, -14.81459999, -143.25077820, -0.33143157, 0.05329209, -0.51279199, -0.79016292, -0.01858054, -0.20966005, -0.58620745, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.1899, 18, -0.22113037, -0.63073730, 0.12268066, 30.59930611, 30.02344513, -31.91071320, -50.07307816, -0.49693072, -61.06401443, 61.15808868, -14.60235691, -143.19467163, -0.33093104, 0.05548355, -0.51333725, -0.78986782, -0.03186488, -0.21643147, -0.58990359, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2099, 19, -0.21484375, -0.63201904, 0.17730713, 40.18931198, 39.05345154, -17.14070892, -49.66384125, -2.86465931, -60.88862991, 61.80232620, -13.86852074, -142.76901245, -0.33065963, 0.06456354, -0.51619881, -0.78742278, -0.02555158, -0.22311950, -0.63659692, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2149, 20, -0.21154785, -0.63391113, 0.19122314, 41.69430923, 41.36345291, -13.99070835, -49.66384125, -2.86465931, -60.88862991, 61.97412491, -13.70936871, -142.61511230, -0.33099195, 0.06690113, -0.51699340, -0.78656632, -0.02611404, -0.22318777, -0.64827597, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0548, 1, -0.37975770, -0.72939622, -0.00643044, 41.56235123, 94.19547272, 57.47373962, -66.44255829, 19.78953552, -86.96287537, 89.29402161, -23.84327507, -64.85119629, -0.66541302, 0.50157392, -0.49273577, -0.25072023, -0.02336829, -0.18566298, -0.00700037, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0598, 2, -0.27717575, -0.68875659, -0.02042153, 43.15338135, 88.14551544, 53.20817566, -66.44255829, 19.78953552, -86.96287537, 89.31287384, -24.10265160, -64.36489868, -0.66693401, 0.50265157, -0.49180055, -0.24631821, -0.13013750, -0.22441085, 0.00755586, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.2199, 21, -0.20281982, -0.63995361, 0.20593262, 42.95431137, 43.39345169, -11.05070496, -49.13768005, -0.58462435, -60.97632217, 62.14869308, -13.55890465, -142.44450378, -0.33146498, 0.06925978, -0.51780683, -0.78562737, -0.03225341, -0.21908456, -0.66067779, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2249, 22, -0.18353271, -0.64111328, 0.21704102, 44.00431061, 45.31845093, -8.11070538, -49.13768005, -0.58462435, -60.97632217, 62.32514954, -13.41747952, -142.25773621, -0.33207664, 0.07163265, -0.51863337, -0.78461039, -0.04910249, -0.21983680, -0.66941822, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2299, 23, -0.14678955, -0.63861084, 0.23004150, 45.01931381, 46.85845566, -5.94070435, -50.45308304, 0.11692487, -61.15171051, 62.50423813, -13.28266144, -142.05844116, -0.33279157, 0.07402329, -0.51947498, -0.78352797, -0.08353229, -0.22423300, -0.67998767, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0648, 3, -0.17761798, -0.65586317, -0.03953722, 44.29893875, 80.72972107, 49.09098816, -67.81642914, 19.90645981, -87.22595978, 89.35191345, -24.34216309, -63.91872787, -0.66821206, 0.50375932, -0.49099252, -0.24216859, -0.23353782, -0.25553435, 0.02753232, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0698, 4, -0.08957147, -0.63084972, -0.07183144, 44.90481186, 71.02960968, 45.62726974, -67.81642914, 19.90645981, -87.22595978, 89.41423035, -24.56530380, -63.52550125, -0.66921973, 0.50484627, -0.49038854, -0.23831549, -0.32511133, -0.27886850, 0.06100041, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0748, 5, -0.05921390, -0.61111546, -0.12432919, 44.69205093, 58.58928299, 42.84474945, -67.81642914, 19.90645981, -87.22595978, 89.50260162, -24.77569771, -63.20054245, -0.66992664, 0.50584877, -0.49007735, -0.23481810, -0.35872507, -0.29697767, 0.11491683, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.2349, 24, -0.09869385, -0.64263916, 0.24157715, 46.66431427, 48.36345291, -3.52570343, -50.45308304, 0.11692487, -61.15171051, 62.68903351, -13.15571308, -141.84626770, -0.33361509, 0.07643392, -0.52035445, -0.78236192, -0.12943476, -0.22209615, -0.68900251, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2399, 25, -0.05407715, -0.65625000, 0.25225830, 47.74931717, 48.71345139, -1.88070309, -50.45308304, 0.11692487, -61.15171051, 62.87840271, -13.03595543, -141.62829590, -0.33449617, 0.07883427, -0.52126682, -0.78113919, -0.17198528, -0.21038055, -0.69705749, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2449, 26, -0.01562500, -0.66961670, 0.25732422, 48.90431595, 48.85345459, 0.25429770, -49.78076553, -0.43846828, -60.77170181, 63.07263184, -12.92610455, -141.40440369, -0.33544621, 0.08120698, -0.52221912, -0.77985150, -0.20852515, -0.19890127, -0.69940174, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0798, 6, -0.06592706, -0.54270899, -0.19463292, 45.16450500, 45.38668823, 40.14049530, -67.67027283, 19.67260933, -86.81671906, 89.62285614, -24.97370148, -62.94835663, -0.67030525, 0.50678062, -0.49009156, -0.23167787, -0.35502830, -0.36380678, 0.18709472, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0848, 7, -0.05968488, -0.51584804, -0.14509942, 48.84098434, 29.13241959, 38.02376556, -67.67027283, 19.67260933, -86.81671906, 89.79884338, -25.16215515, -62.78612518, -0.67022687, 0.50769591, -0.49056685, -0.22887784, -0.36441457, -0.38935277, 0.14004658, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0898, 8, -0.04712279, -0.48752499, -0.01683074, 54.83366394, 0.46009311, 34.56504440, -67.90412140, 22.44957542, -86.31978607, 90.07233429, -25.32965469, -62.78316879, -0.66935217, 0.50858879, -0.49184129, -0.22671002, -0.38003820, -0.41660404, 0.01591216, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.2499, 27, 0.02514648, -0.68176270, 0.25531006, 49.88431549, 48.39845276, 2.28429842, -49.78076553, -0.43846828, -60.77170181, 63.27151871, -12.82708263, -141.17761230, -0.33644840, 0.08353156, -0.52321392, -0.77850634, -0.24756491, -0.18862963, -0.69456685, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2549, 28, 0.07006836, -0.69500732, 0.24945068, 51.17931366, 47.80345154, 4.52429914, -50.21923447, 0.05846244, -61.09324646, 63.47664261, -12.74018478, -140.94812012, -0.33750528, 0.08580303, -0.52426481, -0.77709365, -0.29095456, -0.17725021, -0.68577075, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.0948, 9, -0.05778302, -0.47714689, 0.02344166, 56.54980850, -18.83005333, 30.50808144, -67.90412140, 22.44957542, -86.31978607, 90.40036774, -25.48123550, -62.88780594, -0.66799033, 0.50940251, -0.49362227, -0.22502279, -0.37191910, -0.42587686, -0.01939566, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.0998, 10, -0.09942818, -0.47216073, -0.01416715, 57.37661362, -32.39714050, 25.68750000, -67.90412140, 22.44957542, -86.31978607, 90.76552582, -25.60755920, -63.06853867, -0.66626471, 0.51020539, -0.49569583, -0.22375759, -0.33227387, -0.42975372, 0.02373013, 100.34200287, 82.15006256, 29.21999931, 0.00000000
1, 0.2849, 29, 0.26757813, -0.77246094, 0.26055908, 55.09931946, 40.17345047, 21.11430359, -50.27769470, 0.49693072, -60.45016098, 64.79108429, -12.56503391, -139.51338196, -0.34541142, 0.09757139, -0.53162020, -0.76717067, -0.48506829, -0.11022992, -0.67715740, 100.26900482, 88.27654266, 29.22999954, 0.00000000
1, 0.2899, 30, 0.26593018, -0.79986572, 0.26049805, 54.78431702, 36.21844864, 23.07430649, -50.27769470, 0.49693072, -60.45016098, 65.01747894, -12.59270096, -139.29522705, -0.34678906, 0.09907375, -0.53300399, -0.76539451, -0.48381138, -0.08438738, -0.67356414, 100.26900482, 88.27654266, 29.22999954, 0.00000000
