SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.24846593, -0.95043218, 0.01688502, 23.46236801, 6.76653957, -102.12718201, -61.41479111, 11.28325081, -79.85968781, 102.34368134, -4.53576088, 0.00191225, -0.62649548, 0.77841997, -0.02479792, 0.03083794, 0.16721928, -0.02334699, 0.19357197, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0050, 1, -0.23611785, -0.95633888, 0.02754015, 21.36936188, 4.31442308, -97.91767120, -61.41479111, 11.28325081, -79.85968781, 102.43986511, -4.06174326, 0.12768103, -0.62590837, 0.77909034, -0.02132790, 0.02832329, 0.16316792, -0.01771949, 0.18474790, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0100, 2, -0.22609715, -0.97217143, 0.03302522, 18.32517242, 1.30993772, -92.79787445, -61.23940277, 10.46477604, -80.00584412, 102.52323151, -3.60974264, 0.23391338, -0.62540376, 0.77966285, -0.01811747, 0.02584369, 0.16112074, -0.00210594, 0.18086830, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0150, 3, -0.22219457, -0.98085415, 0.03678892, 15.82174301, -2.56646800, -88.89749908, -61.23940277, 10.46477604, -80.00584412, 102.59626007, -3.17276955, 0.31752658, -0.62496650, 0.78015572, -0.01514828, 0.02333677, 0.16487440, 0.00639746, 0.17848197, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0200, 4, -0.21412182, -0.98762679, 0.04130563, 12.74086857, -8.45821857, -83.95120239, -60.91785812, 9.55860806, -79.42121887, 102.65633392, -2.75367975, 0.36743557, -0.62461537, 0.78055626, -0.01251139, 0.02076253, 0.16416353, 0.01301649, 0.17513140, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0250, 5, -0.20368806, -0.98763740, 0.03884117, 9.95262527, -12.20876503, -79.58853149, -60.91785812, 9.55860806, -79.42121887, 102.69766998, -2.35750842, 0.39491761, -0.62438625, 0.78083724, -0.01015767, 0.01821765, 0.16076872, 0.01289378, 0.17849985, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0300, 6, -0.18830249, -0.97820723, 0.04262195, 7.52147675, -16.06224060, -75.16275787, -60.91785812, 9.55860806, -79.42121887, 102.73417664, -1.97313881, 0.39869359, -0.62418556, 0.78107870, -0.00803219, 0.01562186, 0.15210387, 0.00333658, 0.17544536, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0350, 7, -0.18129255, -0.96151364, 0.05386372, 5.66268492, -20.12617111, -70.46886444, -60.04092407, 6.89856768, -79.30429840, 102.76226807, -1.60724092, 0.37770376, -0.62403625, 0.78126258, -0.00617868, 0.01301516, 0.15153044, -0.01346757, 0.16480470, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0400, 8, -0.18536045, -0.94847786, 0.06324721, 4.19089699, -23.83853722, -65.77150726, -60.04092407, 6.89856768, -79.30429840, 102.78350830, -1.26019144, 0.33359757, -0.62392700, 0.78139997, -0.00458728, 0.01040982, 0.16171287, -0.02658876, 0.15586159, 99.98600769, 112.06170654, 32.77000046, 0.00000000
1, 0.0750, 9, -0.28142583, -0.89400184, 0.07788542, -4.46119785, -34.59708405, -38.40184402, -58.49166870, 9.00321579, -79.68430328, 102.71437073, 0.67687041, -0.41093636, -0.62443221, 0.78104848, 0.00088766, -0.00685282, 0.29220319, -0.08151203, 0.14018379, 99.98600769, 112.06170654, 32.77000046, 0.00000000
