SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, -0.21171030, -0.90922832, 0.23189230, 5.30750084, -22.97592545, 16.85776138, -34.49283981, 9.90938282, -57.35165024, 101.89125824, -10.15465546, -0.83879071, -0.62807184, 0.77307236, -0.06142054, 0.06412899, 0.03507676, -0.05445350, -0.03128135, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, -0.0001, 0, -0.10522461, -0.99847412, 0.22772217, 7.95539379, 8.56734657, 4.54836178, -34.40514374, 5.58316278, -50.89155197, 110.26825714, -22.62457085, 83.84565735, 0.30954421, -0.67354375, -0.45411167, -0.49427101, -0.27932280, 0.13249093, 0.09195969, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0049, 1, -0.09277344, -0.99114990, 0.22521973, 7.95539284, 7.44734526, 4.05836153, -34.14206314, 6.28471184, -50.24846649, 110.29640198, -22.65650940, 83.87587738, 0.30907530, -0.67357093, -0.45426452, -0.49438703, -0.29230604, 0.12552725, 0.09479780, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0099, 2, -0.09149170, -0.99707031, 0.22668457, 8.30539322, 6.60734558, 3.63836098, -34.14206314, 6.28471184, -50.24846649, 110.32762146, -22.68503380, 83.90261078, 0.30862176, -0.67361242, -0.45442581, -0.49446562, -0.29406175, 0.13180514, 0.09372882, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0149, 3, -0.08111572, -0.98852539, 0.22277832, 8.20039272, 5.34734488, 3.14836097, -34.55130005, 6.02163124, -50.97924423, 110.36042023, -22.70909309, 83.92385101, 0.30820674, -0.67366976, -0.45458212, -0.49450251, -0.30484325, 0.12359721, 0.09805647, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0051, 1, -0.22187102, -0.93293858, 0.20563917, 4.70471382, -23.12137985, 16.89702034, -34.49283981, 9.90938282, -57.35165024, 101.93843842, -10.21360683, -0.97133678, -0.62780195, 0.77322114, -0.06261098, 0.06382641, 0.04428788, -0.03035170, -0.00432121, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, 0.0101, 2, -0.25342131, -0.95324910, 0.20722415, 3.71470499, -23.77410126, 16.15796852, -34.49283981, 9.90938282, -57.35165024, 101.98122406, -10.26818371, -1.10642135, -0.62756479, 0.77334529, -0.06379713, 0.06347886, 0.07487331, -0.00971780, -0.00531556, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, 0.0151, 3, -0.26722130, -0.95702100, 0.22845612, 2.95195413, -22.93010330, 14.08466625, -34.87284470, 10.17246437, -57.14703369, 102.01915741, -10.31340218, -1.23519504, -0.62736070, 0.77345061, -0.06489233, 0.06310067, 0.08779646, -0.00569552, -0.02596331, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, 0.0199, 4, -0.07482910, -0.98602295, 0.22601318, 8.20039272, 4.54234505, 2.69336104, -34.55130005, 6.02163124, -50.97924423, 110.39447021, -22.72962189, 83.94184113, 0.30781746, -0.67373544, -0.45474091, -0.49450952, -0.31147408, 0.12142195, 0.09528869, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0249, 5, -0.07147217, -0.97888184, 0.22485352, 8.30539322, 3.66734457, 2.30836105, -34.55130005, 6.02163124, -50.97924423, 110.43048859, -22.74683762, 83.95610809, 0.30745071, -0.67381370, -0.45490149, -0.49448353, -0.31512240, 0.11459282, 0.09693703, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0299, 6, -0.07354736, -0.97467041, 0.22497559, 8.44539356, 2.37234402, 1.81836069, -34.55130005, 6.37240553, -50.57000732, 110.46938324, -22.75949860, 83.96472168, 0.30711603, -0.67391181, -0.45506200, -0.49440998, -0.31327021, 0.11068314, 0.09735687, 100.27700806, 87.60468292, 28.79999924, 0.00000000
1, 0.0201, 4, -0.26194316, -0.94560146, 0.24330468, 3.00955772, -22.22389412, 12.24300003, -34.87284470, 10.17246437, -57.14703369, 102.05648041, -10.35025501, -1.35856426, -0.62716115, 0.77355981, -0.06590582, 0.06269585, 0.08182103, -0.01688886, -0.04018150, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, 0.0251, 5, -0.32443905, -0.94536126, 0.25590771, 3.29405332, -22.37872124, 11.53464508, -34.40514374, 10.43554497, -57.00087738, 102.09532166, -10.38340569, -1.48200297, -0.62695259, 0.77367818, -0.06689888, 0.06226708, 0.14370275, -0.01690696, -0.05231369, 100.35700226, 80.89166260, 28.82999992, 0.00000000
1, 0.0901, 6, -0.47065082, -0.95854473, 0.20273291, 9.20718288, -4.49399233, -10.37247467, -33.87898254, 10.58170128, -56.73779678, 102.62078857, -10.26437378, -2.26988363, -0.62385619, 0.77615440, -0.07130510, 0.05747704, 0.29170415, -0.00201021, 0.00931740, 100.35700226, 80.89166260, 28.82999992, 0.00000000
