SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.03610968, -0.88512826, 0.24460797, -33.18276596, 68.05583191, -100.34781647, -4.32622051, 7.95089149, -80.18123627, 89.90735626, 15.40044594, -108.01488495, -0.33554286, 0.48819214, -0.51077265, -0.62304950, 0.29896522, -0.07993883, -0.24741554, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0050, 1, -0.00678233, -0.89810240, 0.23374526, -30.56409264, 72.96716309, -96.47844696, -3.77082729, 8.38935947, -79.50891113, 89.86656952, 15.87213612, -107.63356018, -0.33522990, 0.49186563, -0.50690037, -0.62349111, 0.27777934, -0.06469281, -0.23737478, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0100, 2, 0.03562893, -0.90589094, 0.21790013, -28.31357193, 76.05495453, -92.22723389, -3.77082729, 8.38935947, -79.50891113, 89.83309174, 16.33454704, -107.23980713, -0.33500588, 0.49554718, -0.50302589, -0.62383425, 0.24315873, -0.05465587, -0.22196899, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0600, 3, 0.12718156, -0.95131814, 0.03950202, -4.41710043, 35.49037933, -25.77748299, -3.39082146, 9.38322163, -77.98889160, 90.11827850, 19.15142632, -103.93383789, -0.33640093, 0.52258754, -0.47736478, -0.62117606, 0.20028517, 0.00642658, -0.03895287, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0650, 4, 0.09914906, -0.95145738, 0.05520347, -2.55365968, 26.92702293, -19.48560715, -3.39082146, 9.38322163, -77.98889160, 90.15219116, 19.24872780, -103.79119110, -0.33649090, 0.52368444, -0.47645378, -0.62090278, 0.23001075, 0.00714355, -0.05414202, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0700, 5, 0.06136559, -0.96901608, 0.07800316, -1.39398408, 20.28069496, -14.96179771, -3.62467122, 9.79245853, -78.51505280, 90.18054962, 19.32337952, -103.68367004, -0.33653834, 0.52452344, -0.47577482, -0.62068945, 0.26902878, 0.02511754, -0.07658206, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0750, 6, 0.01146004, -0.99228394, 0.10279513, 0.78773630, 6.91860533, -4.51198912, -3.62467122, 9.79245853, -78.51505280, 90.19658661, 19.34590149, -103.64697266, -0.33654141, 0.52481598, -0.47559083, -0.62058163, 0.31948885, 0.04856184, -0.10121801, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0800, 7, -0.02218086, -1.00053906, 0.11738243, 2.07146382, 2.11819172, 1.52643394, -3.44928384, 9.79245853, -78.36889648, 90.21066284, 19.33826637, -103.63576508, -0.33657902, 0.52487230, -0.47565064, -0.62046772, 0.35309207, 0.05679353, -0.11566488, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0850, 8, -0.05762164, -0.99181485, 0.13279787, 3.70977306, -2.57629609, 7.63297224, -3.44928384, 9.79245853, -78.36889648, 90.22477722, 19.30017471, -103.64950562, -0.33664691, 0.52469939, -0.47596392, -0.62033695, 0.38799232, 0.04786885, -0.13092339, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0900, 9, -0.09505036, -0.97810197, 0.15208490, 5.76750803, -6.67356539, 13.67830181, -3.44928384, 9.79245853, -78.36889648, 90.24205780, 19.23193359, -103.68502808, -0.33674601, 0.52432036, -0.47653162, -0.62016767, 0.42437309, 0.03377556, -0.15001273, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.0950, 10, -0.12526201, -0.95948088, 0.17016967, 8.09257603, -9.37261200, 19.61334801, -3.53697753, 9.67553329, -78.39812469, 90.26634979, 19.13409805, -103.73494720, -0.33689597, 0.52377915, -0.47733748, -0.61992371, 0.45304781, 0.01460675, -0.16776970, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.1000, 11, -0.14690383, -0.94931960, 0.18010089, 10.73907089, -12.17406940, 25.57691574, -3.53697753, 9.67553329, -78.39812469, 90.29919434, 19.00654411, -103.79979706, -0.33708769, 0.52307683, -0.47839212, -0.61959952, 0.47268450, 0.00374599, -0.17722948, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.1050, 12, -0.16065317, -0.95345151, 0.19871348, 13.34675884, -14.69820595, 31.58263206, -3.18620276, 10.05553913, -78.22274017, 90.37161255, 18.78088570, -103.86142731, -0.33764929, 0.52209562, -0.48008969, -0.61880773, 0.48334870, 0.00680976, -0.19497353, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.1150, 13, -0.08902653, -1.02926433, 0.23755448, 19.43257523, -21.63646317, 41.36471558, -3.18620276, 10.05553913, -78.22274017, 90.48434448, 18.38860512, -104.06934357, -0.33814380, 0.51992065, -0.48341811, -0.61777687, 0.40476081, 0.08025641, -0.23170137, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.1200, 14, -0.07359767, -1.07325423, 0.26317856, 21.68338013, -27.58491135, 44.76959229, -3.97544575, 9.79245853, -78.80736542, 90.54723358, 18.16605186, -104.21631622, -0.33827448, 0.51855499, -0.48542556, -0.61727887, 0.38565207, 0.12301517, -0.25630826, 100.12100220, 100.70898438, 32.55999756, 0.00000000
1, 0.1250, 15, -0.12886913, -1.04119718, 0.25318280, 23.22072029, -26.43955994, 52.80427551, -3.97544575, 9.79245853, -78.80736542, 90.62018585, 17.90346336, -104.35771942, -0.33860856, 0.51706964, -0.48763585, -0.61659914, 0.43682802, 0.08963967, -0.24524340, 100.12100220, 100.70898438, 32.55999756, 0.00000000
