SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.16854846, -0.97671926, 0.21941844, 1.16862690, 24.35485458, -13.57409096, 2.95235300, 17.68488693, -133.49897766, 97.70680237, 0.58302325, -46.28781509, -0.60351998, 0.69373196, -0.29288948, -0.26213640, 0.17823711, -0.01458230, -0.08752669, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0050, 1, -0.14018889, -0.96949041, 0.22438851, 1.01443481, 25.17254257, -14.32378674, 2.95235300, 17.68488693, -133.49897766, 97.71311951, 0.63734335, -46.15356445, -0.60364699, 0.69422841, -0.29180324, -0.26174080, 0.15050992, -0.02177577, -0.09214391, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0100, 2, -0.11323853, -0.96925604, 0.22157070, 0.19135956, 25.55232811, -14.47951889, 3.65390229, 18.41566849, -132.97280884, 97.71548462, 0.69216639, -46.01730728, -0.60380089, 0.69470841, -0.29069239, -0.26134774, 0.12452376, -0.02198659, -0.08920008, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0400, 3, -0.03836529, -0.97747374, 0.18787217, -0.11338809, 21.46151161, -13.94220543, 4.06313944, 18.32797432, -133.14819336, 97.70500946, 1.02500868, -45.24476624, -0.60475826, 0.69731700, -0.28420836, -0.25931069, 0.05554792, -0.01365336, -0.05552317, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0450, 4, -0.03970647, -0.97568583, 0.19119228, -0.21849960, 21.47952461, -13.27444744, 4.06313944, 18.32797432, -133.14819336, 97.70587158, 1.07656801, -45.12950516, -0.60488111, 0.69771785, -0.28323421, -0.25901198, 0.05779451, -0.01542783, -0.05882851, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0500, 5, -0.04298424, -0.97417688, 0.19512074, -0.24976321, 21.28764915, -12.54252625, 4.09237051, 18.35720444, -133.03128052, 97.72272491, 1.10978580, -45.02042389, -0.60493940, 0.69814724, -0.28243098, -0.25859550, 0.06178755, -0.01690936, -0.06261237, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0550, 6, -0.04516108, -0.96996701, 0.19600098, -0.21796040, 21.79007912, -11.68970203, 4.09237051, 18.35720444, -133.03128052, 97.72377014, 1.15325499, -44.90465164, -0.60508257, 0.69853038, -0.28149611, -0.25824469, 0.06461231, -0.02108636, -0.06333455, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0600, 7, -0.03564530, -0.96308017, 0.18705480, -0.15719204, 22.78598976, -11.07085037, 4.67699480, 18.15258598, -132.47587585, 97.72531128, 1.19298935, -44.78435898, -0.60524231, 0.69891810, -0.28055426, -0.25784615, 0.05582734, -0.02794146, -0.05433547, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0650, 8, -0.01890569, -0.95987797, 0.19010033, 0.05127219, 23.36212540, -10.32367706, 4.67699480, 18.15258598, -132.47587585, 97.72803497, 1.22863209, -44.66170502, -0.60541034, 0.69930780, -0.27962190, -0.25740740, 0.03971898, -0.03112962, -0.05729253, 100.07000732, 104.99607849, 33.39999771, 0.00000000
1, 0.0700, 9, -0.00221895, -0.96036911, 0.20728749, 0.19133316, 23.72710228, -9.51056004, 4.67699480, 18.15258598, -132.47587585, 97.73155975, 1.25999701, -44.53776932, -0.60558695, 0.69969457, -0.27870581, -0.25693390, 0.02355661, -0.03064678, -0.07438309, 100.07000732, 104.99607849, 33.39999771, 0.00000000
