SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.24301888, -0.95953691, 0.07767593, 7.85953426, -32.56800079, 11.18546295, 8.36012840, 1.92926037, -90.61677551, 95.45345306, -11.27131748, -109.14479065, -0.44725361, 0.37302676, -0.63832027, -0.50335121, 0.04753541, -0.01692812, 0.01304824, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0050, 1, -0.24189559, -0.96010852, 0.08160941, 7.62542820, -30.92555237, 10.87707043, 8.36012840, 1.92926037, -90.61677551, 95.52347565, -11.31083393, -109.30697632, -0.44650733, 0.37219301, -0.63926840, -0.50342774, 0.04572571, -0.01611287, 0.01031263, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0100, 2, -0.24179938, -0.96094322, 0.08590554, 7.31820822, -29.11051941, 10.60877323, 9.00321579, 0.23384975, -90.79216766, 95.59024811, -11.34968662, -109.45989227, -0.44580972, 0.37140000, -0.64016873, -0.50348753, 0.04494959, -0.01504101, 0.00714534, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0150, 3, -0.24292071, -0.96426988, 0.09459082, 7.41735744, -28.51448059, 10.48151016, 9.00321579, 0.23384975, -90.79216766, 95.65699768, -11.38802242, -109.60977173, -0.44512373, 0.37062484, -0.64105630, -0.50353658, 0.04539255, -0.01148577, -0.00042508, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0200, 4, -0.24297394, -0.97100747, 0.10156487, 7.47696781, -27.57233810, 10.43310452, 8.62320995, 1.66617942, -91.08448029, 95.72322845, -11.42640591, -109.75492859, -0.44446099, 0.36987224, -0.64192492, -0.50356871, 0.04477089, -0.00451544, -0.00629133, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0250, 5, -0.23825841, -0.98012245, 0.10841539, 7.28051901, -26.07213974, 10.26104832, 8.62320995, 1.66617942, -91.08448029, 95.78703308, -11.46450424, -109.89243317, -0.44383901, 0.36915305, -0.64275610, -0.50358474, 0.03938544, 0.00483032, -0.01205938, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0750, 6, -0.30489275, -1.01032424, 0.21956705, 4.03050661, -19.72736359, 7.40411091, 8.38935947, 1.28617358, -91.63986969, 96.34835815, -11.78955173, -111.13018036, -0.43822038, 0.36265883, -0.65007585, -0.50382823, 0.10013339, 0.03701936, -0.11390787, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0800, 7, -0.30821398, -1.00708520, 0.21988513, 3.68426538, -17.69628716, 6.82599068, 8.33089733, 0.96463019, -92.01987457, 96.38602448, -11.81376457, -111.22383881, -0.43781054, 0.36214656, -0.65060353, -0.50387198, 0.10303203, 0.03394020, -0.11358410, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0850, 8, -0.30926284, -1.00681925, 0.22833757, 3.09630775, -16.26001358, 6.27182245, 8.33089733, 0.96463019, -92.01987457, 96.43006897, -11.84412384, -111.31241608, -0.43743384, 0.36165512, -0.65115929, -0.50383419, 0.10360439, 0.03383100, -0.12137371, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0900, 9, -0.31092077, -1.01086223, 0.22644059, 2.36348367, -14.58384609, 5.83037281, 8.33089733, 0.96463019, -92.01987457, 96.45784760, -11.86499786, -111.38976288, -0.43711063, 0.36121386, -0.65158182, -0.50388485, 0.10483414, 0.03803376, -0.11890842, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.0950, 10, -0.30422857, -1.01595271, 0.21641608, 1.69372571, -12.21337032, 5.50982571, 8.21397209, 1.28617358, -92.37065125, 96.47980499, -11.88558578, -111.45490265, -0.43685818, 0.36082092, -0.65193921, -0.50392312, 0.09781349, 0.04325913, -0.10848950, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1000, 11, -0.29169711, -1.02055788, 0.20893328, 1.16569495, -9.80598545, 5.15330219, 8.21397209, 1.28617358, -92.37065125, 96.49655914, -11.90571499, -111.50761414, -0.43667454, 0.36048102, -0.65223312, -0.50394529, 0.08495782, 0.04798310, -0.10068359, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1050, 12, -0.27748889, -1.01709723, 0.20537093, 0.54008406, -8.13303852, 4.88567162, 8.24320412, 0.23384975, -91.90295410, 96.50842285, -11.92544651, -111.55171967, -0.43654221, 0.36017340, -0.65247709, -0.50396407, 0.07041848, 0.04462496, -0.09686804, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1100, 13, -0.26737210, -1.00757205, 0.19076487, -0.12088096, -6.49354887, 4.54758930, 8.24320412, 0.23384975, -91.90295410, 96.51524353, -11.94441891, -111.58729553, -0.43645945, 0.35989887, -0.65266991, -0.50398219, 0.06001007, 0.03520804, -0.08209223, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1150, 14, -0.26147950, -1.00109673, 0.18461682, -0.56030500, -5.54666805, 4.12007475, 8.24320412, 0.23384975, -91.90295410, 96.51881409, -11.96178722, -111.61781311, -0.43640113, 0.35964900, -0.65282810, -0.50400615, 0.05383059, 0.02881437, -0.07585639, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1200, 15, -0.26237080, -0.99336946, 0.17408143, -0.97651905, -3.58834529, 3.64626741, 8.00935364, 1.08155513, -92.16603088, 96.51818848, -11.97791004, -111.63813019, -0.43639463, 0.35944763, -0.65293235, -0.50402033, 0.05446743, 0.02116471, -0.06530698, 100.00800323, 110.21109009, 30.68999863, 0.00000000
1, 0.1550, 16, -0.30217400, -0.97062981, 0.14933184, -2.28354764, 4.10470438, 1.91840267, 7.98012257, -1.95849168, -92.57527161, 96.47307587, -12.11328316, -111.62658691, -0.43726546, 0.35864234, -0.65306091, -0.50367272, 0.09200263, -0.00112073, -0.04137791, 100.00800323, 110.21109009, 30.68999863, 0.00000000
