SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.36594564, -1.13716567, 0.33020014, -15.90045452, 19.90517616, -3.64606190, -9.52937698, 12.21864891, -127.30195618, 95.90190887, -16.29046059, -5.10421467, -0.66703737, 0.73012608, -0.12753184, 0.07558271, -0.64790684, 0.18206507, -0.23225276, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0700, 1, -1.13416874, -1.69276547, 0.24626787, -15.63369846, 43.41202927, 147.17955017, -15.17100239, 12.48173046, -129.28967285, 96.41248322, -21.78843689, -8.48248768, -0.66306925, 0.72079194, -0.17975606, 0.09212019, 0.76549029, 0.76845074, -0.14738503, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0750, 2, -0.97288525, -1.59944725, 0.19929077, -19.00108147, 76.81724548, 156.15074158, -15.17100239, 12.48173046, -129.28967285, 96.19796753, -22.60637474, -8.16134071, -0.66361320, 0.71869779, -0.18250410, 0.09891061, 0.59134912, 0.68006796, -0.10359806, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0800, 3, -0.77567548, -1.55768454, 0.32545504, -15.21428585, 96.35678101, 170.72935486, -15.63870239, 12.74481106, -129.28967285, 95.95796967, -23.50577927, -7.73733330, -0.66408575, 0.71646750, -0.18511312, 0.10675955, 0.37961942, 0.64364254, -0.23362161, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0850, 4, -0.61028951, -1.62073481, 0.48567122, -11.54636860, 110.98753357, 185.15742493, -15.63870239, 12.74481106, -129.28967285, 95.69797516, -24.48251724, -7.23422050, -0.66443962, 0.71410197, -0.18771522, 0.11550497, 0.19859304, 0.71268880, -0.39826071, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0900, 5, -0.55483890, -1.64620996, 0.53187990, -14.54919243, 108.50399017, 194.74075317, -15.63870239, 12.74481106, -129.28967285, 95.41916656, -25.50365639, -6.74073410, -0.66475666, 0.71151817, -0.19068581, 0.12441657, 0.12700735, 0.74501014, -0.44941843, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.0950, 6, -0.54227316, -1.60754275, 0.52458572, -18.91219330, 103.21382904, 201.75073242, -16.25255775, 11.10786343, -128.90966797, 95.12061310, -26.55508423, -6.27007294, -0.66506213, 0.70870978, -0.19403264, 0.13332003, 0.09803910, 0.71381795, -0.44736648, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.1000, 7, -0.55304676, -1.55352962, 0.48644879, -21.21592712, 97.65401459, 206.20433044, -16.25255775, 11.10786343, -128.90966797, 94.81661224, -27.62203789, -5.82365036, -0.66528213, 0.70578045, -0.19766666, 0.14213236, 0.09233196, 0.66779995, -0.41462451, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.1050, 8, -0.56923163, -1.51652348, 0.45042282, -21.76760101, 93.92280579, 209.10185242, -16.42794418, 11.75094986, -128.26658630, 94.50436401, -28.70188141, -5.38712263, -0.66541952, 0.70274103, -0.20148829, 0.15091170, 0.09200414, 0.63921702, -0.38405794, 100.06500244, 105.41693115, 32.25000000, 0.00000000
1, 0.1100, 9, -0.57133931, -1.49023557, 0.41881558, -21.77111053, 91.77890778, 211.36425781, -16.42794418, 11.75094986, -128.26658630, 94.18577576, -29.79007149, -4.95244503, -0.66545582, 0.69962454, -0.20542099, 0.15967587, 0.07760642, 0.62176347, -0.35794786, 100.06500244, 105.41693115, 32.25000000, 0.00000000
