SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0002, 0, 0.52758789, -0.71282959, 0.27301025, 26.97953987, -35.42110825, -0.21109290, -16.07716942, -1.66617942, -106.75241089, 146.72586060, 33.44269180, -130.29901123, -0.13491321, -0.46038172, 0.79803914, 0.36466527, 0.02296213, 0.25460994, 0.42479271, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, -0.0001, 0, -0.15646091, -0.95697641, 0.19067210, -2.15765142, -5.21262312, -116.64857483, -41.33294296, 0.32154340, -109.61707306, 104.76952362, -4.54615307, -147.74681091, 0.19958101, -0.19659342, 0.76708245, 0.57715082, 0.07425039, -0.00703299, 0.06154545, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0052, 1, 0.50231934, -0.71777344, 0.26086426, 26.66453934, -38.74610519, 1.15390766, -16.07716942, -1.66617942, -106.75241089, 146.78562927, 33.60155487, -130.43218994, -0.13677940, -0.45956710, 0.79825675, 0.36452115, 0.05050853, 0.26114357, 0.43617952, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0102, 2, 0.47729492, -0.72680664, 0.25097656, 25.26453972, -41.16110229, 2.37890792, -16.86641312, -1.37386727, -106.43087006, 146.83021545, 33.76727295, -130.57954407, -0.13868152, -0.45867777, 0.79845881, 0.36447993, 0.07791823, 0.27163535, 0.44512472, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0152, 3, 0.44677734, -0.73345947, 0.23522949, 23.58453941, -42.49110794, 3.56890845, -16.86641312, -1.37386727, -106.43087006, 146.86018372, 33.93538284, -130.73744202, -0.14057684, -0.45773399, 0.79864639, 0.36452946, 0.11087282, 0.27958810, 0.45977166, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0202, 4, 0.41784668, -0.73992920, 0.22515869, 22.14953995, -42.63110733, 5.00390911, -16.98333740, -1.14001751, -106.48932648, 146.87815857, 34.10021591, -130.90327454, -0.14242490, -0.45674464, 0.79883528, 0.36463892, 0.14220667, 0.28719938, 0.46865362, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0252, 5, 0.37896729, -0.73590088, 0.21307373, 20.39953804, -40.95110703, 6.85891008, -16.98333740, -1.14001751, -106.48932648, 146.88468933, 34.25296783, -131.07322693, -0.14414941, -0.45572639, 0.79904050, 0.36478594, 0.18335223, 0.28412119, 0.47952393, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0049, 1, -0.13491113, -0.94256520, 0.18985374, -3.24521017, -5.93885851, -114.33860016, -40.66062546, 0.23384975, -109.73399353, 104.74321747, -3.98560500, -147.63050842, 0.19652489, -0.20023230, 0.76605666, 0.57830977, 0.06249920, -0.02228447, 0.06220999, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0099, 2, -0.11940370, -0.92033517, 0.17013584, -4.50199986, -7.39599180, -112.11399078, -40.66062546, 0.23384975, -109.73399353, 104.71246338, -3.43393135, -147.52445984, 0.19348253, -0.20374432, 0.76501256, 0.57949007, 0.05668645, -0.04524147, 0.08166689, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0149, 3, -0.12546428, -0.90035129, 0.13367862, -5.07775688, -9.26731968, -109.80278015, -39.34521866, 0.17538731, -108.74013519, 104.68051910, -2.89103556, -147.43075562, 0.19043690, -0.20712210, 0.76397216, 0.58067274, 0.07233465, -0.06583725, 0.11773937, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0452, 6, 0.35839844, -0.75231934, 0.22521973, 17.10953522, -26.42610168, 11.30391026, -17.10026360, -1.95849168, -106.40163422, 146.89053345, 34.68441010, -131.70556641, -0.14945860, -0.45180017, 0.80016690, 0.36506408, 0.21038747, 0.30303180, 0.46370944, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0502, 7, 0.37316895, -0.75994873, 0.22576904, 16.72453499, -22.50610161, 12.00391102, -17.10026360, -1.95849168, -106.40163422, 146.89674377, 34.74588013, -131.84150696, -0.15038270, -0.45091313, 0.80052251, 0.36500180, 0.19656202, 0.31108409, 0.46265459, 100.34900665, 81.56245422, 32.21999741, 0.00000000
1, 0.0199, 4, -0.14071475, -0.89161456, 0.11057537, -4.80597496, -10.67436028, -107.66652679, -39.34521866, 0.17538731, -108.74013519, 104.65131378, -2.35665083, -147.34690857, 0.18739179, -0.21039072, 0.76295251, 0.58182788, 0.09699620, -0.07510376, 0.14043015, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0249, 5, -0.15018705, -0.88168514, 0.11299009, -4.66618633, -12.91974735, -105.47849274, -39.34521866, 0.17538731, -108.74013519, 104.62089539, -1.83385050, -147.27713013, 0.18435283, -0.21349989, 0.76194757, 0.58298188, 0.11564630, -0.08551136, 0.13760591, 100.36200714, 80.47180176, 32.25999832, 0.00000000
1, 0.0552, 8, 0.38909912, -0.76416016, 0.22277832, 16.30453873, -18.93610001, 12.38891220, -17.10026360, -1.95849168, -106.40163422, 146.90634155, 34.79137802, -131.96762085, -0.15116748, -0.45007148, 0.80090100, 0.36488593, 0.18133904, 0.31566900, 0.46530309, 100.34900665, 81.56245422, 32.21999741, 0.00000000
