SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.06461185, -0.99080312, 0.24121216, -4.03860617, 9.17521000, 13.26296520, -33.90821457, -1.16924870, -107.68781281, 103.69307709, -6.04542017, 2.98116398, -0.61562324, 0.78584635, -0.01213829, 0.05749951, -0.04098116, 0.02422255, -0.00748356, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0650, 1, -0.03856750, -0.96971071, 0.18110150, -15.97549057, 39.63010788, 9.93456173, -33.79129028, 0.23384975, -108.59397888, 102.83820343, -7.16397285, 4.57204676, -0.61995751, 0.78113431, -0.00780998, 0.07362729, -0.08619568, 0.00206980, 0.03810987, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0700, 2, -0.04543074, -0.97399700, 0.18188970, -14.57866573, 36.03847885, 10.60232067, -33.79129028, 0.23384975, -108.59397888, 102.74468231, -7.25546741, 4.73744440, -0.62043089, 0.78062004, -0.00724198, 0.07513727, -0.08092328, 0.00618312, 0.03564001, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0750, 3, -0.05063543, -0.97347569, 0.17578182, -13.72763729, 33.42174911, 11.08995152, -34.02513885, 0.35077462, -108.62320709, 102.65685272, -7.34622002, 4.88962460, -0.62087089, 0.78013492, -0.00675860, 0.07657152, -0.07727899, 0.00552870, 0.04018790, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0800, 4, -0.05488917, -0.96887362, 0.16483116, -12.91405773, 30.94561958, 11.51130581, -34.02513885, 0.35077462, -108.62320709, 102.57447052, -7.43610907, 5.02932119, -0.62127942, 0.77967823, -0.00635397, 0.07793301, -0.07455637, 0.00082331, 0.04967371, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0850, 5, -0.06537309, -0.97473097, 0.16614692, -11.85237312, 28.57278633, 12.07217312, -33.26512527, 0.35077462, -109.23706055, 102.49875641, -7.52598333, 5.15687656, -0.62164778, 0.77925634, -0.00602920, 0.07922917, -0.06562959, 0.00658633, 0.04697250, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0900, 6, -0.06554825, -0.98389816, 0.14598046, -10.93377876, 26.26830864, 12.63649082, -33.26512527, 0.35077462, -109.23706055, 102.42003632, -7.60724688, 5.27392673, -0.62204713, 0.77881891, -0.00573260, 0.08041012, -0.06688669, 0.01569478, 0.06580012, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.0950, 7, -0.06407291, -0.99861133, 0.14677766, -10.57644176, 23.29906273, 13.12200451, -33.26512527, 0.35077462, -109.23706055, 102.35391235, -7.69627857, 5.37465572, -0.62236470, 0.77844703, -0.00558206, 0.08155573, -0.06983672, 0.03033474, 0.06373676, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1000, 8, -0.06661623, -1.00439835, 0.15602638, -10.42882252, 19.92105293, 13.14476395, -34.02513885, 0.40923706, -109.32476044, 102.29061127, -7.78173876, 5.45882225, -0.62267548, 0.77809012, -0.00552374, 0.08258733, -0.06881267, 0.03606711, 0.05334318, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1050, 9, -0.08137938, -1.00804317, 0.17908642, -9.50563049, 17.04484367, 12.85414410, -34.02513885, 0.40923706, -109.32476044, 102.23364258, -7.86264753, 5.52921200, -0.62295467, 0.77776766, -0.00553051, 0.08351353, -0.05552322, 0.03964867, 0.02921078, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1100, 10, -0.10150060, -1.01141906, 0.17914666, -9.20134354, 15.41052723, 12.84636688, -34.28821945, 0.61385560, -109.79245758, 102.17921448, -7.94172764, 5.59164238, -0.62322247, 0.77745873, -0.00558031, 0.08438409, -0.03677689, 0.04300901, 0.02812520, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1450, 11, -0.13507308, -1.03340101, 0.17371939, -8.57824993, 10.26349640, 9.80642319, -34.52206802, -0.32154340, -109.29552460, 101.83282471, -8.41456699, 5.90997648, -0.62498301, 0.77549011, -0.00628397, 0.08928531, -0.01144542, 0.06490794, 0.02731642, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1500, 12, -0.13185872, -1.03237140, 0.17524783, -8.98305225, 11.31262016, 9.48605919, -34.52206802, -0.32154340, -109.29552460, 101.78125000, -8.47259712, 5.95621109, -0.62525207, 0.77519894, -0.00633103, 0.08992490, -0.01566990, 0.06384199, 0.02490802, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1550, 13, -0.11782781, -1.02763176, 0.18622975, -9.41180038, 11.32466698, 8.82581425, -34.52206802, -0.32154340, -109.29552460, 101.72734070, -8.52737331, 6.00323772, -0.62553799, 0.77489555, -0.00635722, 0.09054672, -0.03068910, 0.05903657, 0.01303660, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1600, 14, -0.13544640, -1.01494026, 0.19388945, -9.41787910, 11.68776989, 8.20360661, -34.37591171, 0.20461853, -110.08477020, 101.67298126, -8.57942390, 6.05275679, -0.62582642, 0.77459031, -0.00635248, 0.09116373, -0.01399833, 0.04627627, 0.00441040, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1650, 15, -0.15608677, -1.01280022, 0.17960304, -9.50251102, 12.73890686, 7.91426802, -34.37591171, 0.20461853, -110.08477020, 101.61734772, -8.63106728, 6.10783720, -0.62611872, 0.77427834, -0.00630955, 0.09180830, 0.00578802, 0.04409868, 0.01768860, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1700, 16, -0.17601267, -1.01082337, 0.16239524, -9.52596092, 14.62525749, 7.67911148, -33.87898254, -0.61385560, -109.67552948, 101.56005859, -8.68337154, 6.17256355, -0.62641299, 0.77395755, -0.00620708, 0.09250993, 0.02485811, 0.04208598, 0.03385857, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1750, 17, -0.17031327, -1.00652874, 0.17060149, -9.09075642, 16.89111328, 7.76263189, -33.87898254, -0.61385560, -109.67552948, 101.50321960, -8.73827362, 6.24849701, -0.62669224, 0.77363896, -0.00604366, 0.09329031, 0.01820428, 0.03772136, 0.02468224, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1800, 18, -0.14932764, -0.99931490, 0.19266523, -9.30133438, 19.63692474, 7.93591499, -33.87898254, -0.61385560, -109.67552948, 101.44316101, -8.79665947, 6.33794594, -0.62697828, 0.77330267, -0.00581171, 0.09416789, -0.00382877, 0.03041828, 0.00165452, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1850, 19, -0.12114952, -0.98868060, 0.19503053, -9.96899605, 21.89630127, 7.89311218, -34.20052719, 0.55539316, -110.34784698, 101.37796021, -8.85696507, 6.43871784, -0.62728673, 0.77293807, -0.00551920, 0.09512018, -0.03304769, 0.01971864, -0.00173735, 100.05900574, 105.92120361, 34.16999817, 0.00000000
1, 0.1900, 20, -0.09943093, -0.97823465, 0.18259130, -10.36332607, 22.16962242, 7.97475052, -34.20052719, 0.55539316, -110.34784698, 101.30838013, -8.90827560, 6.54127073, -0.62762886, 0.77255106, -0.00516966, 0.09602198, -0.05569994, 0.00920931, 0.00959099, 100.05900574, 105.92120361, 34.16999817, 0.00000000
