SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.05908995, -1.03153467, 0.09809455, -27.86220551, 15.00231838, 6.51997471, -19.20491028, 5.96316862, -112.33557129, 89.34819794, -6.11448669, -123.33578491, -0.37000889, 0.29980758, -0.63597143, -0.60724735, -0.16570753, 0.03710322, -0.11030451, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0050, 1, 0.07014711, -1.03139508, 0.10948113, -29.08669090, 13.57135487, 7.65817595, -19.20491028, 5.96316862, -112.33557129, 89.19551086, -6.15216064, -123.26698303, -0.37096995, 0.29948401, -0.63508207, -0.60775113, -0.17742169, 0.03704417, -0.12428816, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0450, 2, 0.07759456, -1.09362757, 0.17376935, -42.11193085, 14.15931511, 20.66709709, -19.58491707, 6.22624969, -113.00788879, 87.72250366, -6.70557785, -122.74665833, -0.38042057, 0.29439414, -0.62737393, -0.61238402, -0.19435008, 0.10087685, -0.21388075, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0500, 3, 0.06706087, -1.09462619, 0.17767207, -43.75680542, 15.34948635, 22.74943352, -19.58491707, 6.22624969, -113.00788879, 87.49433136, -6.81643295, -122.66445923, -0.38201231, 0.29345420, -0.62624264, -0.61300206, -0.18570352, 0.10225004, -0.22171313, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0550, 4, 0.06118214, -1.09625387, 0.18689264, -45.16571808, 17.62095451, 24.85453415, -19.58491707, 6.22624969, -113.00788879, 87.25748444, -6.93693781, -122.56984711, -0.38373828, 0.29249257, -0.62505937, -0.61359102, -0.18189585, 0.10429049, -0.23499957, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0600, 5, 0.05951833, -1.08707356, 0.19345827, -47.25607300, 20.30994415, 26.73289871, -19.87722778, 6.66471767, -113.88482666, 87.00823212, -7.06576633, -122.46068573, -0.38561243, 0.29151505, -0.62379539, -0.61416727, -0.18244505, 0.09557663, -0.24580342, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0650, 6, 0.06374501, -1.07836556, 0.20935005, -48.56594086, 23.17827797, 28.67570686, -19.87722778, 6.66471767, -113.88482666, 86.75027466, -7.20301676, -122.33594513, -0.38763064, 0.29053774, -0.62246865, -0.61470568, -0.18905133, 0.08736975, -0.26607639, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0700, 7, 0.08217223, -1.08407938, 0.23201667, -50.30475616, 26.28063583, 30.87491798, -19.52645493, 4.09237051, -113.82636261, 86.48116302, -7.34975243, -122.19422913, -0.38981137, 0.28955254, -0.62106597, -0.61521018, -0.21003297, 0.09363013, -0.29328990, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0750, 8, 0.10491724, -1.11023045, 0.23992829, -51.86502075, 29.34727097, 33.17616272, -19.52645493, 4.09237051, -113.82636261, 86.20175171, -7.50631285, -122.03559113, -0.39215326, 0.28855854, -0.61959332, -0.61567354, -0.23546623, 0.12041391, -0.30595332, 100.01900482, 109.28558350, 32.46999741, 0.00000000
1, 0.0800, 9, 0.13554250, -1.13353515, 0.25163653, -53.14309311, 32.56066895, 35.26699829, -19.52645493, 4.09237051, -113.82636261, 85.91319275, -7.67140627, -121.85918427, -0.39465064, 0.28757003, -0.61805201, -0.61608934, -0.26893950, 0.14440638, -0.32253808, 100.01900482, 109.28558350, 32.46999741, 0.00000000
